image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 0.773283
Delta Norm = 3.638239
Delta Norm = 2.930139
Delta Norm = 1.537357
Delta Norm = 1.118169
Delta Norm = 3.952448
Delta Norm = 3.121812
Delta Norm = 3.075322
Delta Norm = 3.712134
Delta Norm = 3.815123
Delta Norm = 3.268977
Delta Norm = 2.230345
Delta Norm = 1.766307
Delta Norm = 2.925588
Delta Norm = 3.314836
Delta Norm = 4.213198
Delta Norm = 4.717025
Delta Norm = 3.903371
Delta Norm = 0.788087
Delta Norm = 3.984958
Delta Norm = 3.592028
Delta Norm = 3.240263
Delta Norm = 2.926703
Delta Norm = 2.117227
Delta Norm = 3.530239
Delta Norm = 2.572843
Delta Norm = 3.441266
Delta Norm = 2.939480
Delta Norm = 3.530786
Delta Norm = 2.304896
Delta Norm = 4.567927
Delta Norm = 2.691910
Delta Norm = 3.095775
Delta Norm = 3.523393
Delta Norm = 4.199643
Delta Norm = 3.499020
Delta Norm = 4.058688
Delta Norm = 1.867357
Delta Norm = 2.987652
Delta Norm = 3.254244
Delta Norm = 3.552370
Delta Norm = 1.981792
Delta Norm = 3.668490
Delta Norm = 3.099599
Delta Norm = 3.309800
Delta Norm = 3.369038
Delta Norm = 2.743998
Delta Norm = 2.876864
Delta Norm = 3.359794
Delta Norm = 3.964906
Delta Norm = 2.595853
Delta Norm = 2.592515
Delta Norm = 3.178731
Delta Norm = 1.767722
Delta Norm = 0.346560
Delta Norm = 3.238785
Delta Norm = 2.302921
Delta Norm = 3.881190
Delta Norm = 3.483766
Delta Norm = 1.381426
Delta Norm = 2.278261
Delta Norm = 3.278600
Delta Norm = 3.149227
Delta Norm = 3.381267
Delta Norm = 3.469923
Delta Norm = 3.435315
Delta Norm = 3.951709
Delta Norm = 3.248887
Delta Norm = 3.595446
Delta Norm = 3.917894
Delta Norm = 3.803302
Delta Norm = 1.968221
Delta Norm = 2.542386
Delta Norm = 3.205296
Delta Norm = 1.753425
Delta Norm = 4.222080
Delta Norm = 3.512699
Delta Norm = 4.520499
